run,epoch,bank,joint,joint_delta_parent,joint_delta_native_same_epoch,run_status,source,bbat/ball/box/map50_95,bbat/ball/pose/map50_95,bbat/bat/box/map50_95,bbat/bat/pose/map50_95,bbat/box/map50_95,bbat/pose/map50_95,coco/box/map50_95,coco/person/box/map50_95,bbat/ball/box/map50_95_delta_parent,bbat/ball/pose/map50_95_delta_parent,bbat/bat/box/map50_95_delta_parent,bbat/bat/pose/map50_95_delta_parent,bbat/box/map50_95_delta_parent,bbat/pose/map50_95_delta_parent,coco/box/map50_95_delta_parent,coco/person/box/map50_95_delta_parent
masf_off,1,live,0.7077786274738819,-0.0033961115013834142,,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.4948255480850081,0.8536492758155185,0.7531248810965466,0.9440958902240426,0.6239752145907773,0.8988725830197805,0.49668419451815105,0.62048856222092,-0.0126114881023206,-0.006259439376257947,0.0004908737697439935,-0.0034297428100708016,-0.006060307166288248,-0.004844591093164374,-0.0013381419527710992,0.00010707379847108012
masf_off,2,ema,0.710323323743087,-0.0008514152321782431,-0.0007436072474296118,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.504062473173539,0.8557359186173121,0.7535280185962414,0.947558995125496,0.6287952458848902,0.9016474568714038,0.4989762599081287,0.6205501991796086,-0.0033745630137896887,-0.004172796574464344,0.000894011269438777,3.336209138260493e-05,-0.0012402758721753449,-0.002069717241541036,0.0009539234372065719,0.00016871075715974015
masf_off,2,live,0.7067492240958542,-0.004425514879411119,,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.4904050426455683,0.8587985165083069,0.7478062341412196,0.9395326139097756,0.6191056383933939,0.8991655652090411,0.49592393015169406,0.6203854215161007,-0.017031993541760437,-0.001110198683469621,-0.004827773185583029,-0.007993019124337808,-0.010929883363671622,-0.004551608903903714,-0.0020984063192280855,3.93309365176453e-06
masf_off,3,ema,0.7102358448935752,-0.0009388940816901226,-0.0007828746717346569,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.5032973951923693,0.8558406385979431,0.7532784648351172,0.9476851498660753,0.6282879300137434,0.9017628942320093,0.4987588812094431,0.6206066247806703,-0.004139640994959448,-0.004068076593833347,0.0006444575083145443,0.00015951683196191446,-0.0017475917433221744,-0.00195427988093555,0.0007365447385209722,0.00022513635822141165
masf_off,3,live,0.7052767023682582,-0.005898036607007051,,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.49112185259483787,0.8485677883603492,0.7505542708049441,0.9423760188514555,0.620838061699891,0.8954719036059021,0.49495933760916616,0.6196423053204293,-0.016315183592490845,-0.01134092683142729,-0.002079736521858555,-0.005149614182657913,-0.009197460057174589,-0.008245270507042712,-0.0030629988617559833,-0.0007391831020195916
masf_off,4,ema,0.7099530037908524,-0.001221735184412931,-9.905655431541316e-05,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.5013680047531626,0.8549702388341757,0.7533912844521738,0.94769261494915,0.6273796446026683,0.9013314268916629,0.4989060032345152,0.6208165173337522,-0.00606903143416615,-0.004938476357600807,0.0007572771253712141,0.00016698191503661253,-0.0026558771543973014,-0.002385747221281931,0.0008836667635930828,0.00043502891130331456
masf_off,4,live,0.7033489185475882,-0.0078258204276771,,paused_for_analysis,artifacts/direction1-20260908/masf-off-parent-bridge/summary.json,0.4839229991416971,0.8431923930453454,0.748082217432572,0.9420022723799704,0.6160026082871347,0.8925973327126581,0.495581052131361,0.6199662668941287,-0.023514037045631597,-0.01671632214643104,-0.004551789894230662,-0.00552336065414305,-0.014032913469930852,-0.011119841400286767,-0.002441284339561145,-0.00041522152832018655
heads,1,ema,0.7111562950758774,-1.8443899387876606e-05,-6.970930429872624e-05,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.5071627107796478,0.859899154619401,0.7528453603381831,0.9475127610676998,0.6300040355589155,0.9037059578435503,0.49802303917136237,0.6203424849620083,-0.00027432540768090874,-9.560572375444387e-06,0.00021135301138042184,-1.287196641364119e-05,-3.1486198150076916e-05,-1.1216269394487277e-05,7.027004402249126e-07,-3.900346044061198e-05
heads,1,live,0.7083917719286417,-0.002782967046623619,,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.4969588984362914,0.8572776845117426,0.7511466387476313,0.9434514015874346,0.6240527685919612,0.9003645430495887,0.4974031471094558,0.6197738578426137,-0.010478137751037342,-0.0026310306800338967,-0.001487368579171311,-0.004074231446678844,-0.005982753165104326,-0.0033526310633561485,-0.0006191893614663213,-0.00060763057983515
heads,2,ema,0.7111691393426429,-5.59963262236618e-06,0.00010220835212626511,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.5072336877201298,0.8603200756235158,0.7521953122441672,0.9475009719472706,0.6297144999821487,0.9039105237853932,0.49797087633783077,0.6203392728224484,-0.0002033484671989383,0.0004113604317392827,-0.0004386950826353875,-2.4661086842847624e-05,-0.00032102177491688533,0.00019334967244832857,-5.146013309137443e-05,-4.221560000050584e-05
heads,2,live,0.7070611443348397,-0.0041135946404256,,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.49677958030092667,0.8504127280079438,0.7523797427154814,0.9427795609917882,0.624579661508204,0.896596144499866,0.4974496860121522,0.6200840851541103,-0.010657455886402045,-0.00949598718383271,-0.0002542646113212754,-0.0047460720423252445,-0.005455860248861577,-0.007121029613078811,-0.0005726504587699188,-0.000297403268338603
heads,3,ema,0.711081397865705,-9.33411095602743e-05,6.26783003951914e-05,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.5061182847198242,0.860077392750419,0.7526744494781746,0.9475151860812737,0.6293963670989993,0.9037962894158463,0.4979873081876782,0.6204307352101547,-0.0013187514675044865,0.00016867755864247158,4.044215137199991e-05,-1.0446952839693324e-05,-0.0006391546580662988,7.911530290150015e-05,-3.502828324392082e-05,4.924678770579227e-05
heads,3,live,0.7075483375808055,-0.0036264013944597995,,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.49941771636374294,0.8534684361065752,0.7483846242257698,0.9427083653674595,0.6239011702947564,0.8980884007370173,0.4975484988727999,0.620115217262436,-0.00801931982358578,-0.006440279085201284,-0.004249383101032844,-0.004817267666653913,-0.006134351462309118,-0.005628773375927487,-0.0004738375981222509,-0.00026627116001287643
heads,4,ema,0.7109928071219787,-0.00018193185328663208,0.0009407467768108857,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.505681014050259,0.8604491829876748,0.7522188260763822,0.9470959885615102,0.6289499200633207,0.9037725857745926,0.49795561003513683,0.6205133339622505,-0.0017560221370697127,0.0005404677958983362,-0.00041518125042039333,-0.0004296444726031856,-0.001085601693744831,5.541166164779732e-05,-6.672643578531368e-05,0.00013184553980161162
heads,4,live,0.7072650763714378,-0.003909662603827524,,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.4914562201476104,0.854370599004777,0.7509755496810903,0.9432997654878512,0.6212158849143503,0.8988351822463139,0.497173622722621,0.6202655097275893,-0.015980816039718293,-0.005538116186999509,-0.0016584576457123745,-0.004225867546262196,-0.00881963684271525,-0.004881991866630964,-0.0008487137483011442,-0.00011597869485957535
heads,5,ema,0.710874304827315,-0.00030043414795033474,0.0007582492036263266,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.5045507046533756,0.8603468244455932,0.7523433297074426,0.9471541867795867,0.6284470171804091,0.90375050561259,0.49795694546894637,0.6204665502620392,-0.0028863315339531237,0.00043810925381670973,-0.0002906776193600802,-0.000371446254526675,-0.001588504576656491,3.333149964512838e-05,-6.539100197577863e-05,8.506183959033908e-05
heads,5,live,0.7084321259589763,-0.002742613016288975,,complete,artifacts/direction1-20260908/heads-only-parent-recovery/summary.json,0.4984766888538038,0.8554506642952024,0.7536435776448451,0.94376180150153,0.6260601332493245,0.899606232898366,0.49696930855007165,0.6199187221987527,-0.00896034733352491,-0.004458050896574028,0.0010095703180424964,-0.003763831532583417,-0.00397538850774104,-0.004110941214578778,-0.0010530279208504911,-0.00046276622369623155
