split,experiment,seed,comparison_tier,map50_95,map50,map75,ap_s,ap_m,ap_l,ball_ap,ball_ap_s,ball_recall,bat_ap,tiny_ball_recall,small_ball_recall,large_ball_recall,checkpoint_sha256
test,P2-Direct-Clean,42,strict_fair,0.5797937000611327,0.8346513708058034,0.6589355350205951,0.3510771485874437,0.6698245261529465,0.6426912584048983,0.5281559594024918,0.36982038414192814,0.9363817097415507,0.6314314407197738,0.64,0.946236559139785,0.9554794520547946,941d6c0fa8e8d4edd9910b6f81279b7d619cea8538d0b13fe06f8774860f772c
test,P2-Direct-Clean,43,strict_fair,0.5718871077746004,0.8291134960593556,0.6402762415264962,0.34533711992212773,0.4816713461426284,0.6484766155652384,0.4853492292201736,0.33158032997981113,0.9423459244532804,0.6584249863290272,0.64,0.9408602150537635,0.9691780821917808,a53a4027bf4b96d557b97a1e5c133de114d768433a5a5b9cde1bb7ef753434e7
test,P2-PaperFormula-Clean,42,strict_fair,0.5791262119666349,0.8398794633189743,0.6525329924323643,0.3183702466253275,0.6605579768064384,0.6479464117780607,0.5058367871628441,0.33479731247748995,0.9423459244532804,0.6524156367704257,0.52,0.956989247311828,0.9691780821917808,c436ccc354389667c69ea2a097d1150e17bca369ebb175691d4e8fae52777e3c
test,P2-PaperFormula-Clean,43,strict_fair,0.6084361631613693,0.8743865137558505,0.6760812477995483,0.373925405478001,0.5690433792761226,0.682563787795665,0.5714959645324363,0.3936568075150241,0.9602385685884692,0.6453763617903021,0.64,1.0,0.9623287671232876,54203cd2e4526fd34a59fc0304264213ef6479c69081ed77a6a9666bd386dd36
test,P2-Lite35-Clean,42,strict_fair,0.5535719613077359,0.8135015985329677,0.6224967021280577,0.3664877951759531,0.5762643956523649,0.629581582549403,0.4944853786984514,0.3848969289205918,0.94831013916501,0.6126585439170203,0.6,0.967741935483871,0.9657534246575342,3c76cd211211e7f73d2176e7f761b01abf8b5d9e487ef2ed23c7d0c69a2b2843
test,P2-Lite35-Clean,43,strict_fair,0.5868005235082542,0.8660102122452334,0.6436455805247465,0.36384439172269073,0.5990676935278823,0.6841147676997235,0.5475153679427579,0.38079844599202095,0.9403578528827038,0.6260856790737505,0.64,0.9516129032258065,0.958904109589041,79b8eaea9d7e05f4b30f9eea5c920ef6f47b60f14afa3c4e9d2439c47b886778
test,P2-Lite35-F7-Clean,42,strict_fair,0.5859966611801748,0.8342825131663716,0.6717668974386142,0.33344404915168774,0.5799264455474752,0.6606544337094354,0.5171553565890433,0.3511547147033196,0.9443339960238568,0.6548379657713062,0.64,0.946236559139785,0.9691780821917808,3ff2d6f6bb13a3e225357bc781beea03f993b4613c776bf1c8d778ee6918b914
test,P2-Lite35-F7-Clean,43,strict_fair,0.5936452511516574,0.8592905072478738,0.6731854546929837,0.3775831385058999,0.6569500707804519,0.643033926157655,0.517690457723977,0.37851033015532193,0.9602385685884692,0.6696000445793379,0.64,0.9731182795698925,0.9794520547945206,7f616b366f77d6b56cea61759d8162d2d90c61fd1a4b881a2775209a1f90d7ed
test,P2-Partial50-Clean,42,strict_fair,0.5672436294531078,0.8347568766053094,0.6178705569533406,0.3363220092196002,0.5686456978512365,0.6659933962436682,0.5264167988894909,0.38056685805908197,0.9343936381709742,0.6080704600167246,0.64,0.946236559139785,0.952054794520548,a6a2524e5123f47f4c13d5252be63099d2da34a1d4f1b3417d1f3e32bee774f5
test,P2-Partial50-Clean,43,strict_fair,0.585174877240955,0.850389889221309,0.638480705359082,0.3440424184311092,0.5681957648228183,0.6758076867107523,0.5280312601724605,0.3710656702112091,0.9443339960238568,0.6423184943094494,0.64,0.956989247311828,0.9623287671232876,312e7d461b03418a29121a1359034e1091d1aee6f51bd460dd1e7bc5c23b2204
